DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_uniform,8,6,-2,PASS,2,0.111375,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.027208,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,32,-2,PASS,4,0.037417,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,0.063042,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,51,12,FAIL,4,0.089459,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,0.105125,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,85,46,FAIL,4,0.231209,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,162,123,FAIL,4,0.882541,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,162,101,FAIL,4,0.82575,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,168,105,FAIL,4,0.887792,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,300,215,FAIL,4,2.88675,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,415,330,FAIL,5,14.4504,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,92,11,FAIL,4,0.258667,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,87,42,FAIL,4,0.316333,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,174,77,FAIL,4,1.08542,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,204,128,FAIL,4,2.11725,CHECKER_PASS
random1_4type_uniform,91,450,359,FAIL,8,51.492,CHECKER_PASS
random2_4type_uniform,85,312,227,FAIL,9,29.6028,CHECKER_PASS
random3_4type_uniform,109,605,496,FAIL,8,80.2374,CHECKER_PASS
random4_4type_uniform,81,234,153,FAIL,15,47.8741,CHECKER_PASS
random5_4type_uniform,88,304,216,FAIL,17,88.6382,CHECKER_PASS
random6_4type_uniform,91,456,365,FAIL,24,193.839,CHECKER_PASS
random7_4type_uniform,99,502,403,FAIL,24,246.375,CHECKER_PASS
