DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_invdelay,8,11,3,FAIL,3,0.1795,CHECKER_PASS
hal_4type_invdelay,21,17,-4,PASS,4,0.121375,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_invdelay,31,23,-8,PASS,4,0.203833,CHECKER_PASS
arf_4type_invdelay,43,34,-9,PASS,4,0.800542,CHECKER_PASS
motion_vectors_dfg__7_4type_invdelay,25,30,5,FAIL,4,0.870458,CHECKER_PASS
ewf_4type_invdelay,61,45,-16,PASS,4,0.83475,CHECKER_PASS
feedback_points_dfg__7_4type_invdelay,30,39,9,FAIL,4,4.78808,CHECKER_PASS
write_bmp_header_dfg__7_4type_invdelay,28,37,9,FAIL,8,12.2876,CHECKER_PASS
interpolate_aux_dfg__12_4type_invdelay,34,65,31,FAIL,6,20.3725,CHECKER_PASS
matmul_dfg__3_4type_invdelay,43,71,28,FAIL,4,25.0873,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_invdelay,55,68,13,FAIL,8,31.9343,CHECKER_PASS
invert_matrix_general_dfg__3_4type_invdelay,69,106,37,FAIL,8,122.634,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_invdelay,61,53,-8,PASS,4,2.71271,CHECKER_PASS
collapse_pyr_dfg__113_4type_invdelay,31,40,9,FAIL,4,3.10942,CHECKER_PASS
idctcol_dfg__3_4type_invdelay,67,82,15,FAIL,4,28.1127,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_invdelay,52,82,30,FAIL,4,31.3339,CHECKER_PASS
random1_4type_invdelay,60,80,20,FAIL,20,147.141,CHECKER_PASS
random2_4type_invdelay,63,92,29,FAIL,19,171.894,CHECKER_PASS
random3_4type_invdelay,70,87,17,FAIL,24,257.818,CHECKER_PASS
random4_4type_invdelay,54,73,19,FAIL,35,206.839,CHECKER_PASS
random5_4type_invdelay,67,93,26,FAIL,35,413.898,CHECKER_PASS
random6_4type_invdelay,61,78,17,FAIL,62,586.254,CHECKER_PASS
random7_4type_invdelay,72,95,23,FAIL,55,771.861,CHECKER_PASS
