// The next line is the dfg name
matmul_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 168
0 1 2
1 6 0
2 11 2
3 37 3
4 1 0
5 7 3
6 16 2
7 21 0
8 25 3
9 31 0
10 34 1
11 51 2
12 2 0
13 7 1
14 67 3
15 73 1
16 10 1
17 31 2
18 71 2
19 101 2
20 4 0
21 5 0
22 8 0
23 115 3
24 121 0
25 19 1
26 25 1
27 31 1
28 127 3
29 151 3
30 61 2
31 67 1
32 133 3
33 139 2
34 157 0
35 111 2
36 157 3
37 163 0
38 164 0
39 1 1
40 43 3
41 49 1
42 52 0
43 4 1
44 13 1
45 16 0
46 22 1
47 97 3
48 3 0
49 21 2
50 85 3
51 91 0
52 106 2
53 7 0
54 9 0
55 91 2
56 96 0
57 145 3
58 96 2
59 139 3
60 145 0
61 151 1
62 1 3
63 13 3
64 49 3
65 56 2
66 19 3
67 26 2
68 32 0
69 36 2
70 76 2
71 16 1
72 19 0
73 28 1
74 56 1
75 86 1
76 55 3
77 61 1
78 64 1
79 109 3
80 116 2
81 66 2
82 81 2
83 121 2
84 163 3
85 6 2
86 46 2
87 103 3
88 109 0
89 73 3
90 79 0
91 80 1
92 83 1
93 110 1
94 31 3
95 41 2
96 91 3
97 121 3
98 127 0
99 61 3
100 79 3
101 86 2
102 91 1
103 128 1
104 10 0
105 37 1
106 40 0
107 131 2
108 40 1
