add 1
mul 1
div 1
add 1
mul 2
div 3
DFG name: random3
Actual Latency 602
0 1 1
1 3 0
2 5 1
3 7 0
4 8 0
5 7 1
6 9 1
7 9 0
8 11 0
9 12 0
10 13 0
11 14 0
12 13 1
13 15 1
14 15 0
15 16 0
16 17 1
17 17 0
18 18 0
19 19 0
20 20 0
21 21 0
22 22 0
23 23 0
24 24 0
25 25 0
26 26 0
27 23 1
28 19 1
29 27 0
30 28 0
31 25 1
32 29 0
33 30 0
34 31 0
35 32 0
36 33 0
37 34 0
38 35 0
39 27 1
40 29 1
41 36 0
42 37 0
43 38 0
44 39 0
45 4 0
46 40 0
47 41 0
48 37 1
49 42 0
50 39 1
51 43 0
52 44 0
53 45 0
54 46 0
55 47 0
56 48 0
57 49 0
58 50 0
59 41 1
60 43 1
61 45 1
62 51 0
63 52 0
64 53 0
65 31 1
66 54 0
67 55 0
68 47 1
69 56 0
70 49 1
71 57 0
72 51 1
73 58 0
74 59 0
75 60 0
76 61 0
77 62 0
78 53 1
79 21 1
80 63 0
81 64 0
82 65 0
83 55 1
84 66 0
85 67 0
86 68 0
87 69 0
88 70 0
89 57 1
90 33 1
91 35 1
92 71 0
93 72 0
94 73 0
95 74 0
96 59 1
97 61 1
98 75 0
99 76 0
100 77 0
101 63 1
102 78 0
103 79 0
104 65 1
105 80 0
106 67 1
107 81 0
108 82 0
109 83 0
110 84 0
111 85 0
112 85 1
113 69 1
114 86 0
115 87 0
116 88 0
117 89 0
118 90 0
119 91 0
120 92 0
121 93 0
122 94 0
123 95 0
124 71 1
125 96 0
126 73 1
127 97 0
128 98 0
129 99 0
130 100 0
131 101 0
132 102 0
133 103 0
134 104 0
135 105 0
136 106 0
137 97 1
138 99 1
139 107 0
140 10 0
141 75 1
142 108 0
143 109 0
144 110 0
145 111 0
146 112 0
147 101 1
148 113 0
149 114 0
150 115 0
151 116 0
152 103 1
153 117 0
154 118 0
155 93 1
156 119 0
157 77 1
158 120 0
159 79 1
160 121 0
161 122 0
162 123 0
163 81 1
164 124 0
165 125 0
166 126 0
167 127 0
168 128 0
169 129 0
170 83 1
171 130 0
172 131 0
173 132 0
174 133 0
175 105 1
176 134 0
177 135 0
178 87 1
179 136 0
180 137 0
181 138 0
182 139 0
183 140 0
184 141 0
185 142 0
186 143 0
187 144 0
188 145 0
189 146 0
190 147 0
191 121 1
192 148 0
193 149 0
194 150 0
195 151 0
196 152 0
197 153 0
198 1 0
199 2 0
200 5 0
201 6 0
202 3 1
203 154 0
204 155 0
205 156 0
206 157 0
207 158 0
208 159 0
209 160 0
210 161 0
211 162 0
212 11 1
213 163 0
214 164 0
215 165 0
216 89 1
217 91 1
218 166 0
219 167 0
220 157 1
221 168 0
222 164 1
223 166 1
224 169 0
225 170 0
226 162 1
227 171 0
228 168 1
229 172 0
230 173 0
231 170 1
232 174 0
233 175 0
234 176 0
235 177 0
236 95 1
237 178 0
238 179 0
239 180 0
240 174 1
241 181 0
242 182 0
243 172 1
244 183 0
245 184 0
246 185 0
247 186 0
248 187 0
249 176 1
250 188 0
251 189 0
252 190 0
253 191 0
254 192 0
255 193 0
256 194 0
257 178 1
258 195 0
259 196 0
260 197 0
261 198 0
262 199 0
263 200 0
264 201 0
265 202 0
266 180 1
267 182 1
268 203 0
269 204 0
270 205 0
271 206 0
272 207 0
273 208 0
274 210 1
275 209 0
276 210 0
277 211 0
278 212 0
279 213 0
280 214 0
281 215 0
282 216 0
283 190 1
284 217 0
285 192 1
286 218 0
287 194 1
288 219 0
289 220 0
290 184 1
291 221 0
292 222 0
293 223 0
294 186 1
295 224 0
296 188 1
297 225 0
298 226 0
299 227 0
300 228 0
301 212 1
302 229 0
303 230 0
304 231 0
305 232 0
306 233 0
307 196 1
308 234 0
309 198 1
310 235 0
311 230 1
312 220 1
313 222 1
314 236 0
315 237 0
316 238 0
317 239 0
318 240 0
319 241 0
320 242 0
321 228 1
322 243 0
323 244 0
324 245 0
325 246 0
326 247 0
327 248 0
328 249 0
329 234 1
330 236 1
331 250 0
332 251 0
333 200 1
334 252 0
335 253 0
336 254 0
337 255 0
338 202 1
339 256 0
340 257 0
341 204 1
342 258 0
343 259 0
344 260 0
345 261 0
346 262 0
347 206 1
348 263 0
349 264 0
350 265 0
351 208 1
352 214 1
353 266 0
354 216 1
355 267 0
356 268 0
357 269 0
358 270 0
359 271 0
360 272 0
361 273 0
362 246 1
363 274 0
364 248 1
365 275 0
366 250 1
367 252 1
368 276 0
369 218 1
370 277 0
371 278 0
372 279 0
373 280 0
374 281 0
375 224 1
376 282 0
377 283 0
378 284 0
379 285 0
380 286 0
381 226 1
382 287 0
383 232 1
384 288 0
385 238 1
386 240 1
387 242 1
388 244 1
389 289 0
390 290 0
391 254 1
392 291 0
393 292 0
394 293 0
395 294 0
