add 1
mul 1
div 1
add 1
mul 2
div 3
DFG name: random5
Actual Latency 918
0 1 0
1 2 0
2 2 1
3 4 1
4 4 0
5 3 0
6 5 0
7 6 0
8 6 1
9 7 0
10 8 0
11 9 0
12 10 0
13 11 0
14 12 0
15 13 0
16 14 0
17 8 1
18 15 0
19 16 0
20 17 0
21 18 0
22 19 0
23 20 0
24 21 0
25 22 0
26 23 0
27 10 1
28 24 0
29 25 0
30 26 0
31 27 0
32 28 0
33 29 0
34 30 0
35 31 1
36 31 0
37 32 0
38 33 0
39 34 0
40 35 0
41 18 1
42 36 0
43 37 0
44 38 0
45 39 0
46 12 1
47 33 1
48 40 0
49 14 1
50 41 0
51 42 0
52 43 0
53 44 0
54 45 0
55 46 0
56 47 0
57 48 0
58 49 0
59 50 0
60 51 0
61 52 0
62 53 0
63 54 0
64 55 0
65 56 0
66 57 0
67 58 0
68 46 1
69 59 0
70 60 0
71 61 0
72 62 0
73 63 0
74 64 0
75 65 0
76 66 0
77 67 0
78 16 1
79 68 0
80 69 0
81 70 0
82 71 0
83 56 1
84 72 0
85 73 0
86 74 0
87 75 0
88 42 1
89 76 0
90 77 0
91 78 0
92 79 0
93 80 0
94 81 0
95 82 0
96 83 0
97 84 0
98 85 0
99 44 1
100 48 1
101 71 1
102 86 0
103 87 0
104 88 0
105 73 1
106 89 0
107 90 0
108 91 0
109 92 0
110 93 0
111 75 1
112 94 0
113 95 0
114 77 1
115 96 0
116 97 0
117 98 0
118 99 0
119 100 0
120 101 0
121 102 0
122 103 0
123 50 1
124 104 0
125 105 0
126 93 1
127 106 0
128 107 0
129 108 0
130 109 0
131 110 0
132 111 0
133 112 0
134 108 1
135 113 0
136 114 0
137 115 0
138 116 0
139 117 0
140 118 0
141 119 0
142 120 0
143 121 0
144 122 0
145 123 0
146 118 1
147 124 0
148 125 0
149 126 0
150 127 0
151 114 1
152 128 0
153 68 1
154 129 0
155 130 0
156 131 0
157 132 0
158 133 0
159 134 0
160 112 1
161 135 0
162 136 0
163 137 0
164 61 1
165 138 0
166 139 0
167 38 1
168 140 0
169 141 0
170 142 0
171 143 0
172 144 0
173 79 1
174 81 1
175 106 1
176 145 0
177 146 0
178 147 0
179 148 0
180 149 0
181 150 0
182 20 1
183 22 1
184 151 0
185 152 0
186 153 0
187 154 0
188 155 0
189 83 1
190 156 0
191 157 0
192 158 0
193 85 1
194 159 0
195 52 1
196 40 1
197 160 0
198 161 0
199 162 0
200 163 0
201 164 0
202 165 0
203 166 0
204 87 1
205 167 0
206 168 0
207 169 0
208 170 0
209 171 0
210 172 0
211 173 0
212 174 0
213 175 0
214 176 0
215 177 0
216 178 0
217 172 1
218 179 0
219 153 1
220 180 0
221 181 0
222 182 0
223 183 0
224 184 0
225 185 0
226 186 0
227 187 0
228 167 1
229 169 1
230 188 0
231 189 0
232 190 0
233 191 0
234 192 0
235 193 0
236 194 0
237 151 1
238 155 1
239 195 0
240 196 0
241 197 0
242 198 0
243 89 1
244 116 1
245 199 0
246 200 0
247 99 1
248 101 1
249 201 0
250 202 0
251 203 0
252 204 0
253 205 0
254 91 1
255 206 0
256 120 1
257 207 0
258 208 0
259 209 0
260 210 0
261 211 0
262 212 0
263 213 0
264 214 0
265 144 1
266 181 1
267 215 0
268 216 0
269 183 1
270 185 1
271 217 0
272 187 1
273 218 0
274 219 0
275 103 1
276 220 0
277 221 0
278 222 0
279 223 0
280 224 0
281 54 1
282 58 1
283 225 0
284 226 0
285 227 0
286 228 0
287 229 0
288 230 0
289 231 0
290 232 0
291 233 0
292 234 0
293 235 0
294 236 0
295 237 0
296 238 0
297 239 0
298 240 0
299 241 0
300 242 0
301 243 0
302 244 0
303 245 0
304 246 0
305 247 0
306 248 0
307 249 0
308 250 0
309 251 0
310 252 1
311 252 0
312 253 0
313 254 0
314 255 0
315 248 1
316 250 1
317 256 0
318 258 1
319 257 0
320 258 0
321 259 0
322 246 1
323 254 1
324 256 1
325 260 0
326 260 1
327 262 1
328 264 1
329 262 0
330 266 1
331 263 0
332 268 1
333 264 0
334 265 0
335 266 0
336 270 1
337 272 1
338 261 0
339 274 1
340 267 0
341 268 0
342 269 0
343 270 0
344 276 1
345 278 1
346 280 1
347 271 0
348 282 1
349 272 0
350 273 0
351 274 0
352 284 1
353 275 0
354 276 0
355 277 0
356 278 0
357 279 0
358 286 1
359 288 1
360 280 0
361 281 0
362 282 0
363 290 1
364 283 0
365 284 0
366 285 0
367 292 1
368 286 0
369 287 0
370 288 0
371 289 0
372 290 0
373 294 1
374 291 0
375 292 0
376 293 0
377 296 1
378 294 0
379 295 0
380 296 0
381 297 0
382 298 0
383 299 0
384 300 0
385 301 0
386 302 0
387 303 0
388 304 0
389 305 0
390 306 0
391 307 0
392 308 0
393 309 0
394 310 0
395 311 0
396 312 0
397 298 1
398 300 1
399 313 0
400 314 0
401 302 1
402 315 0
403 316 0
404 304 1
405 317 0
406 318 0
407 306 1
408 319 0
409 308 1
410 320 0
411 321 0
412 322 0
413 323 0
414 324 0
415 325 0
416 326 0
417 324 1
418 327 0
419 328 0
420 329 0
421 310 1
422 330 0
423 331 0
424 332 0
425 333 0
426 312 1
427 334 0
428 335 0
429 336 0
430 337 0
431 338 0
432 339 0
433 340 0
434 341 0
435 342 0
436 336 1
437 343 0
438 314 1
439 344 0
440 346 1
441 316 1
442 345 0
443 346 0
444 347 0
445 348 0
446 349 0
447 350 0
448 351 0
449 348 1
450 352 0
451 353 0
452 350 1
453 352 1
454 354 0
455 355 0
456 356 0
457 357 0
458 358 0
459 359 0
460 360 0
461 332 1
462 334 1
463 338 1
464 361 0
465 362 0
466 340 1
467 363 0
468 364 0
469 365 0
470 366 0
471 367 0
472 368 0
473 369 0
474 342 1
475 370 0
476 371 0
477 372 0
478 344 1
479 373 0
480 374 0
481 375 0
482 376 0
483 377 0
484 378 0
485 379 0
486 380 0
487 381 0
488 382 0
489 326 1
490 383 0
491 384 0
492 385 0
493 386 0
494 387 0
495 388 0
496 389 0
497 390 0
498 391 0
499 318 1
500 392 0
501 320 1
502 393 0
503 394 0
504 395 0
505 396 0
506 397 0
507 398 0
508 369 1
509 399 0
510 400 0
511 401 0
512 402 0
513 403 0
514 404 0
515 405 0
516 404 1
517 406 0
518 407 0
519 408 0
520 409 0
521 410 0
522 411 0
523 412 0
524 413 0
525 414 0
526 322 1
527 415 0
528 416 0
529 417 0
530 418 0
531 419 0
532 328 1
533 420 0
534 416 1
535 421 0
536 422 0
537 423 0
538 424 0
539 425 0
540 426 0
541 418 1
542 427 0
543 428 0
544 358 1
545 429 0
546 430 0
547 431 0
548 432 0
549 433 0
550 434 0
551 435 0
552 436 0
553 437 0
554 438 0
555 439 0
556 440 0
557 410 1
558 441 0
559 412 1
560 442 0
561 443 0
562 444 0
563 445 0
564 446 0
565 366 1
566 447 0
567 448 0
568 449 0
569 330 1
570 450 0
571 354 1
572 451 0
573 452 0
574 453 0
575 454 0
576 455 0
577 456 0
578 457 0
579 458 0
580 459 0
581 356 1
582 395 1
583 460 0
584 461 0
585 462 0
586 463 0
587 464 0
588 465 0
589 466 0
590 467 0
591 468 0
592 469 0
593 470 0
594 471 0
595 472 0
596 473 0
597 414 1
598 474 0
599 475 0
600 476 1
601 478 0
602 478 1
603 480 1
604 479 0
605 482 1
606 480 0
607 481 0
608 484 1
609 486 1
610 488 0
611 486 0
612 476 0
613 488 1
614 490 1
615 492 1
616 482 0
617 494 1
618 494 0
619 483 0
620 492 0
621 484 0
622 490 0
623 491 0
624 493 0
625 496 1
626 495 0
627 498 1
628 496 0
629 497 0
630 498 0
631 500 1
632 502 1
633 477 0
634 504 1
635 485 0
636 506 1
637 487 0
638 508 1
639 489 0
640 499 0
641 502 0
642 503 0
643 504 0
644 505 0
645 506 0
646 500 0
647 501 0
648 507 0
649 508 0
650 509 0
651 510 1
652 510 0
653 511 0
654 512 0
655 513 0
656 514 0
657 515 0
658 516 0
659 517 0
660 518 0
661 512 1
662 519 0
663 520 0
664 514 1
665 521 0
666 516 1
667 522 0
668 518 1
669 523 0
670 524 0
671 525 0
672 526 0
673 524 1
674 527 0
675 528 0
676 526 1
677 529 0
678 530 0
679 528 1
680 531 0
681 530 1
682 520 1
683 522 1
684 532 0
685 532 1
686 534 1
687 533 0
688 534 0
689 535 0
690 536 0
691 537 0
692 538 0
693 539 0
694 540 0
695 541 0
696 542 0
697 536 1
698 543 0
699 538 1
700 544 0
701 540 1
702 545 0
703 546 0
704 547 0
705 548 0
706 544 1
707 549 0
708 550 0
709 542 1
710 551 0
711 552 0
712 546 1
713 548 1
714 553 0
715 550 1
716 552 1
717 554 0
718 554 1
719 555 0
720 556 1
721 558 1
722 556 0
723 557 0
724 560 1
725 558 0
726 559 0
727 560 0
728 561 0
729 562 1
730 562 0
731 563 0
732 564 0
733 565 0
734 564 1
735 566 0
736 567 0
737 566 1
738 568 0
739 569 0
740 570 0
741 571 0
742 572 0
743 568 1
744 573 0
745 574 0
746 575 0
747 576 0
748 577 0
749 578 0
750 579 0
751 580 0
752 581 0
753 582 0
754 583 0
755 584 0
756 585 0
757 586 0
758 587 0
759 588 0
760 589 0
761 590 0
762 570 1
763 591 0
764 572 1
765 592 0
766 593 0
767 594 0
768 574 1
769 595 0
770 596 0
771 597 0
772 576 1
773 598 0
774 599 0
775 578 1
776 580 1
777 600 0
778 601 0
779 602 0
780 603 0
781 604 0
782 582 1
783 605 0
784 606 0
785 584 1
786 607 0
787 608 0
788 609 0
789 586 1
790 610 0
791 611 0
792 612 0
793 588 1
794 613 0
795 614 0
796 615 0
797 616 0
798 617 0
799 618 0
800 619 0
801 620 0
802 590 1
803 621 0
804 622 0
805 623 0
806 624 0
807 592 1
808 594 1
809 596 1
810 625 0
811 626 0
812 627 0
813 628 0
814 629 0
815 598 1
816 630 0
817 631 0
818 632 0
819 633 0
820 600 1
821 634 0
822 635 0
823 636 0
824 637 0
825 608 1
826 638 0
827 639 0
828 640 0
829 641 0
