DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms
example_4type_uniform,8,6,-2,PASS,2,0.174541
hal_4type_uniform,22,21,-1,PASS,4,0.39075
horner_bezier_surf_dfg__12_4type_uniform,34,46,12,FAIL,4,1.24788
arf_4type_uniform,57,46,-11,PASS,4,1.27246
motion_vectors_dfg__7_4type_uniform,39,33,-6,PASS,6,1.88712
ewf_4type_uniform,97,72,-25,PASS,4,1.74075
feedback_points_dfg__7_4type_uniform,39,41,2,FAIL,8,6.52925
write_bmp_header_dfg__7_4type_uniform,39,53,14,FAIL,12,35.4012
interpolate_aux_dfg__12_4type_uniform,61,64,3,FAIL,9,46.0625
matmul_dfg__3_4type_uniform,63,68,5,FAIL,9,44.9353
smooth_color_z_triangle_dfg__31_4type_uniform,85,92,7,FAIL,11,186.845
invert_matrix_general_dfg__3_4type_uniform,85,98,13,FAIL,16,739.837
h2v2_smooth_downsample_dfg__6_4type_uniform,81,79,-2,PASS,5,7.65529
collapse_pyr_dfg__113_4type_uniform,45,59,14,FAIL,7,5.61425
idctcol_dfg__3_4type_uniform,97,99,2,FAIL,6,55.2387
jpeg_fdct_islow_dfg__6_4type_uniform,76,72,-4,PASS,9,68.4853
random1_4type_uniform,91,102,11,FAIL,31,1802.89
random2_4type_uniform,85,92,7,FAIL,33,1642.72
random3_4type_uniform,109,116,7,FAIL,31,4096.96
random4_4type_uniform,81,90,9,FAIL,52,3708.43
random5_4type_uniform,88,96,8,FAIL,60,7446.41
random6_4type_uniform,91,100,9,FAIL,85,18066.7
random7_4type_uniform,99,112,13,FAIL,85,23708.3
