DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_invdelay,8,6,-2,PASS,2,0.09375,CHECKER_PASS
hal_4type_invdelay,21,17,-4,PASS,4,0.106,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_invdelay,31,23,-8,PASS,4,0.203125,CHECKER_PASS
arf_4type_invdelay,43,34,-9,PASS,4,0.628125,CHECKER_PASS
motion_vectors_dfg__7_4type_invdelay,25,30,5,FAIL,5,1.34963,CHECKER_PASS
ewf_4type_invdelay,61,45,-16,PASS,4,0.825208,CHECKER_PASS
feedback_points_dfg__7_4type_invdelay,30,30,0,PASS,7,3.60167,CHECKER_PASS
write_bmp_header_dfg__7_4type_invdelay,28,25,-3,PASS,12,15.718,CHECKER_PASS
interpolate_aux_dfg__12_4type_invdelay,34,34,0,PASS,10,19.5974,CHECKER_PASS
matmul_dfg__3_4type_invdelay,43,39,-4,PASS,8,18.8723,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_invdelay,55,47,-8,PASS,12,49.6007,CHECKER_PASS
invert_matrix_general_dfg__3_4type_invdelay,69,73,4,FAIL,12,226.797,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_invdelay,61,53,-8,PASS,4,3.85263,CHECKER_PASS
collapse_pyr_dfg__113_4type_invdelay,31,23,-8,PASS,8,2.81679,CHECKER_PASS
idctcol_dfg__3_4type_invdelay,67,67,0,PASS,6,28.8813,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_invdelay,52,48,-4,PASS,8,31.4804,CHECKER_PASS
random1_4type_invdelay,60,61,1,FAIL,28,564.439,CHECKER_PASS
random2_4type_invdelay,63,65,2,FAIL,27,561.292,CHECKER_PASS
random3_4type_invdelay,70,68,-2,PASS,32,1171.74,CHECKER_PASS
random4_4type_invdelay,54,55,1,FAIL,47,1225.14,CHECKER_PASS
random5_4type_invdelay,67,70,3,FAIL,47,2344.18,CHECKER_PASS
random6_4type_invdelay,61,65,4,FAIL,78,4982.11,CHECKER_PASS
random7_4type_invdelay,72,74,2,FAIL,71,7047.49,CHECKER_PASS
