DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms
example_4type_uniform,8,6,-2,PASS,2,0.090625
hal_4type_uniform,22,21,-1,PASS,4,0.163125
horner_bezier_surf_dfg__12_4type_uniform,34,46,12,FAIL,4,0.521083
arf_4type_uniform,57,46,-11,PASS,4,1.85408
motion_vectors_dfg__7_4type_uniform,39,33,-6,PASS,6,1.818
ewf_4type_uniform,97,72,-25,PASS,4,1.556
feedback_points_dfg__7_4type_uniform,39,41,2,FAIL,8,6.2415
write_bmp_header_dfg__7_4type_uniform,39,53,14,FAIL,12,45.9166
interpolate_aux_dfg__12_4type_uniform,61,64,3,FAIL,9,41.712
matmul_dfg__3_4type_uniform,63,68,5,FAIL,9,46.0263
smooth_color_z_triangle_dfg__31_4type_uniform,85,92,7,FAIL,11,182.757
invert_matrix_general_dfg__3_4type_uniform,85,98,13,FAIL,16,726.285
h2v2_smooth_downsample_dfg__6_4type_uniform,81,79,-2,PASS,5,8.22963
collapse_pyr_dfg__113_4type_uniform,45,59,14,FAIL,7,5.73621
idctcol_dfg__3_4type_uniform,97,99,2,FAIL,6,52.5388
jpeg_fdct_islow_dfg__6_4type_uniform,76,72,-4,PASS,9,68.2257
random1_4type_uniform,91,102,11,FAIL,31,1806.97
random2_4type_uniform,85,92,7,FAIL,33,1618.86
random3_4type_uniform,109,116,7,FAIL,31,4068.54
random4_4type_uniform,81,90,9,FAIL,52,3597.62
random5_4type_uniform,88,96,8,FAIL,60,7445.51
random6_4type_uniform,91,100,9,FAIL,85,18393
random7_4type_uniform,99,112,13,FAIL,85,23240.6
