DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_uniform,8,6,-2,PASS,2,0.168417,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.388541,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,46,12,FAIL,4,1.20388,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,1.19879,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,33,-6,PASS,6,1.91912,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,1.9845,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,41,2,FAIL,8,6.25542,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,53,14,FAIL,12,47.3496,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,64,3,FAIL,9,45.2167,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,68,5,FAIL,9,46.9483,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,92,7,FAIL,11,190.338,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,98,13,FAIL,16,724.073,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,79,-2,PASS,5,8.15221,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,59,14,FAIL,7,6.04008,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,99,2,FAIL,6,55.4931,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,72,-4,PASS,9,68.6441,CHECKER_PASS
random1_4type_uniform,91,100,9,FAIL,31,1826.94,CHECKER_PASS
random2_4type_uniform,85,95,10,FAIL,33,1688.99,CHECKER_PASS
random3_4type_uniform,109,116,7,FAIL,31,4317.74,CHECKER_PASS
random4_4type_uniform,81,90,9,FAIL,52,4374.37,CHECKER_PASS
random5_4type_uniform,88,96,8,FAIL,60,7823.65,CHECKER_PASS
random6_4type_uniform,91,99,8,FAIL,85,17940.8,CHECKER_PASS
random7_4type_uniform,99,110,11,FAIL,85,23907.8,CHECKER_PASS
