DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_uniform,8,6,-2,PASS,2,0.10725,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.028459,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,32,-2,PASS,4,0.037791,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,0.063042,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,51,12,FAIL,4,0.089125,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,0.104208,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,85,46,FAIL,4,0.2335,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,135,96,FAIL,5,1.42725,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,162,101,FAIL,4,0.864708,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,168,105,FAIL,4,2.87104,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,300,215,FAIL,4,2.94021,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,252,167,FAIL,6,10.8922,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,92,11,FAIL,4,0.263792,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,87,42,FAIL,4,0.308292,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,174,77,FAIL,4,1.24921,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,204,128,FAIL,4,1.9225,CHECKER_PASS
random1_4type_uniform,91,234,143,FAIL,11,36.0351,CHECKER_PASS
random2_4type_uniform,85,233,148,FAIL,12,27.4219,CHECKER_PASS
random3_4type_uniform,109,307,198,FAIL,11,51.2712,CHECKER_PASS
random4_4type_uniform,81,234,153,FAIL,19,45.6883,CHECKER_PASS
random5_4type_uniform,88,302,214,FAIL,22,83.1889,CHECKER_PASS
random6_4type_uniform,91,233,142,FAIL,32,115.175,CHECKER_PASS
random7_4type_uniform,99,255,156,FAIL,32,145.916,CHECKER_PASS
