DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_uniform,8,6,-2,PASS,2,0.113,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.178291,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,32,-2,PASS,4,0.429625,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,1.03383,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,51,12,FAIL,4,3.54329,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,1.82429,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,85,46,FAIL,4,13.8708,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,135,96,FAIL,5,64.3694,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,162,101,FAIL,4,75.6942,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,168,105,FAIL,4,77.61,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,300,215,FAIL,4,426.047,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,252,167,FAIL,6,752.783,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,92,11,FAIL,4,8.68408,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,87,42,FAIL,4,11.5952,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,174,77,FAIL,4,82.5482,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,204,128,FAIL,4,138.271,CHECKER_PASS
random1_4type_uniform,91,234,143,FAIL,11,1181.28,CHECKER_PASS
random2_4type_uniform,85,233,148,FAIL,12,1145.31,CHECKER_PASS
random3_4type_uniform,109,307,198,FAIL,11,2796.35,CHECKER_PASS
random4_4type_uniform,81,234,153,FAIL,19,1798.51,CHECKER_PASS
random5_4type_uniform,88,302,214,FAIL,22,3870.12,CHECKER_PASS
random6_4type_uniform,91,233,142,FAIL,32,4223.44,CHECKER_PASS
random7_4type_uniform,99,255,156,FAIL,32,5752.85,CHECKER_PASS
