DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms,Checker_Status
example_4type_uniform,8,6,-2,PASS,2,0.093125,CHECKER_PASS
hal_4type_uniform,22,21,-1,PASS,4,0.154833,CHECKER_PASS
horner_bezier_surf_dfg__12_4type_uniform,34,46,12,FAIL,4,0.464209,CHECKER_PASS
arf_4type_uniform,57,46,-11,PASS,4,0.937958,CHECKER_PASS
motion_vectors_dfg__7_4type_uniform,39,56,17,FAIL,4,2.27792,CHECKER_PASS
ewf_4type_uniform,97,72,-25,PASS,4,1.24321,CHECKER_PASS
feedback_points_dfg__7_4type_uniform,39,93,54,FAIL,4,12.0139,CHECKER_PASS
write_bmp_header_dfg__7_4type_uniform,39,162,123,FAIL,4,78.018,CHECKER_PASS
interpolate_aux_dfg__12_4type_uniform,61,162,101,FAIL,4,67.8016,CHECKER_PASS
matmul_dfg__3_4type_uniform,63,175,112,FAIL,4,71.2848,CHECKER_PASS
smooth_color_z_triangle_dfg__31_4type_uniform,85,305,220,FAIL,4,479.696,CHECKER_PASS
invert_matrix_general_dfg__3_4type_uniform,85,504,419,FAIL,4,2022.06,CHECKER_PASS
h2v2_smooth_downsample_dfg__6_4type_uniform,81,97,16,FAIL,4,8.55196,CHECKER_PASS
collapse_pyr_dfg__113_4type_uniform,45,89,44,FAIL,4,13.3554,CHECKER_PASS
idctcol_dfg__3_4type_uniform,97,179,82,FAIL,4,74.4835,CHECKER_PASS
jpeg_fdct_islow_dfg__6_4type_uniform,76,204,128,FAIL,4,132.99,CHECKER_PASS
random1_4type_uniform,91,906,815,FAIL,4,11938.8,CHECKER_PASS
random2_4type_uniform,85,912,827,FAIL,4,12577.6,CHECKER_PASS
random3_4type_uniform,109,1212,1103,FAIL,4,29083.4,CHECKER_PASS
random4_4type_uniform,81,1362,1281,FAIL,4,41247.8,CHECKER_PASS
random5_4type_uniform,88,1812,1724,FAIL,4,96597.2,CHECKER_PASS
random6_4type_uniform,91,2718,2627,FAIL,4,324706.0,CHECKER_PASS
random7_4type_uniform,99,3012,2913,FAIL,4,443268.0,CHECKER_PASS
